D0,QD,FN0,QFN,T0,gamma,Nc,realisation,temperature,stress,time_to_tertiary,strain_to_tertiary,time_to_failure,strain_to_failure
3.148e-07,91750.0,8711000000.0,81440.0,254.0,0.3711,0.0002991,0,700,105,7311120.8076096,0.017466385628153,9039120.8076096,0.021443565181316
3.148e-07,91750.0,8711000000.0,65150.0,254.0,0.3711,0.0002991,0,700,105,2271120.8076096,0.0061718274093218,3135120.8076096,0.0082742476741281
3.148e-07,91750.0,13070000000.0,97730.0,254.0,0.3711,0.0002991,0,700,105,13215120.80761,0.030465735223531,22431120.80761,0.050947271994264
3.148e-07,91750.0,13070000000.0,81440.0,254.0,0.3711,0.0002991,0,700,105,5727120.8076096,0.013946258691906,7167120.8076096,0.017267519332024
3.148e-07,91750.0,13070000000.0,65150.0,254.0,0.3711,0.0002991,0,700,105,1839120.8076096,0.0051853229279074,2559120.8076096,0.0069428002984012
3.148e-07,73400.0,4356000000.0,97730.0,254.0,0.3711,0.0002991,0,700,105,11775120.80761,0.027319838007875,15807120.80761,0.036323567052054
3.148e-07,73400.0,4356000000.0,81440.0,254.0,0.3711,0.0002991,0,700,105,3999120.8076096,0.010086462618419,5295120.8076096,0.013091490109521
3.148e-07,73400.0,4356000000.0,65150.0,254.0,0.3711,0.0002991,0,700,105,1263120.8076096,0.0038615011667881,1983120.8076096,0.0056395468089644
3.148e-07,73400.0,8711000000.0,97730.0,254.0,0.3711,0.0002991,0,700,105,8751120.8076096,0.020663024841791,10911120.80761,0.025577479248066
3.148e-07,73400.0,8711000000.0,81440.0,254.0,0.3711,0.0002991,0,700,105,2703120.8076096,0.0071599229872786,3711120.8076096,0.0095409200885733
1.574e-07,110100.0,8711000000.0,65150.0,254.0,0.3711,0.0002991,0,700,105,7599120.8076096,0.018100476529093,9039120.8076096,0.021405670142763
3.148e-07,73400.0,8711000000.0,65150.0,254.0,0.3711,0.0002991,0,700,105,975120.80760956,0.00319398926541,1551120.8076096,0.0048807130801821
3.148e-07,73400.0,13070000000.0,97730.0,254.0,0.3711,0.0002991,0,700,105,7023120.8076096,0.016838798582031,8751120.8076096,0.020811832107929
3.148e-07,73400.0,13070000000.0,81440.0,254.0,0.3711,0.0002991,0,700,105,2127120.8076096,0.0058483759061094,2991120.8076096,0.007895380921259
3.148e-07,73400.0,13070000000.0,65150.0,254.0,0.3711,0.0002991,0,700,105,687120.80760956,0.0025090861346955,1263120.8076096,0.0040359015760067
4.722e-07,110100.0,4356000000.0,97730.0,254.0,0.3711,0.0002991,0,700,105,13503120.80761,0.031085757515937,36000000.0,0.081484418362511
4.722e-07,110100.0,4356000000.0,81440.0,254.0,0.3711,0.0002991,0,700,105,13503120.80761,0.031092986792592,27759120.80761,0.062812629384924
4.722e-07,110100.0,4356000000.0,65150.0,254.0,0.3711,0.0002991,0,700,105,7455120.8076096,0.017783741347797,8751120.8076096,0.020762804944177
4.722e-07,110100.0,8711000000.0,97730.0,254.0,0.3711,0.0002991,0,700,105,13503120.80761,0.031087166587316,36000000.0,0.081491030155498
4.722e-07,110100.0,8711000000.0,81440.0,254.0,0.3711,0.0002991,0,700,105,13071120.80761,0.030150784935621,18543120.80761,0.04229904851917
4.722e-07,110100.0,8711000000.0,65150.0,254.0,0.3711,0.0002991,0,700,105,4719120.8076096,0.01169135633481,6015120.8076096,0.014704670917329
1.574e-07,110100.0,13070000000.0,97730.0,254.0,0.3711,0.0002991,0,700,105,13503120.80761,0.031086014033082,36000000.0,0.081486145246545
4.722e-07,110100.0,13070000000.0,97730.0,254.0,0.3711,0.0002991,0,700,105,13503120.80761,0.031088360228126,36000000.0,0.08149867189198
4.722e-07,110100.0,13070000000.0,81440.0,254.0,0.3711,0.0002991,0,700,105,11919120.80761,0.027623873752294,14655120.80761,0.033746014387768
4.722e-07,110100.0,13070000000.0,65150.0,254.0,0.3711,0.0002991,0,700,105,3711120.8076096,0.009428517367238,4863120.8076096,0.012145417266292
4.722e-07,91750.0,4356000000.0,97730.0,254.0,0.3711,0.0002991,0,700,105,13503120.80761,0.03109265153466,34959120.80761,0.07918104713786
4.722e-07,91750.0,4356000000.0,81440.0,254.0,0.3711,0.0002991,0,700,105,9327120.8076096,0.021924809509413,11343120.80761,0.026521029031358
4.722e-07,91750.0,4356000000.0,65150.0,254.0,0.3711,0.0002991,0,700,105,2847120.8076096,0.007481248608939,3711120.8076096,0.0095017571162354
4.722e-07,91750.0,8711000000.0,97730.0,254.0,0.3711,0.0002991,0,700,105,13359120.80761,0.030781865369772,23871120.80761,0.054121877090551
4.722e-07,91750.0,8711000000.0,81440.0,254.0,0.3711,0.0002991,0,700,105,6159120.8076096,0.014909524826704,7599120.8076096,0.018206610095268
4.722e-07,91750.0,8711000000.0,65150.0,254.0,0.3711,0.0002991,0,700,105,1839120.8076096,0.0051839084219907,2703120.8076096,0.0072671722280175
4.722e-07,91750.0,13070000000.0,97730.0,254.0,0.3711,0.0002991,0,700,105,12927120.80761,0.029837915997062,18975120.80761,0.04328898360563
1.574e-07,110100.0,13070000000.0,81440.0,254.0,0.3711,0.0002991,0,700,105,13359120.80761,0.030778793650801,22719120.80761,0.051559294729584
4.722e-07,91750.0,13070000000.0,81440.0,254.0,0.3711,0.0002991,0,700,105,4863120.8076096,0.012018426489599,6159120.8076096,0.015038979712334
4.722e-07,91750.0,13070000000.0,65150.0,254.0,0.3711,0.0002991,0,700,105,1551120.8076096,0.0045240613249767,2271120.8076096,0.0063270520635043
